filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
4.jpg,66561,"{}",0,0,"{}","{}"
6.jpg,82331,"{}",8,0,"{""name"":""rect"",""x"":152,""y"":343,""width"":42,""height"":25}","{""name"":""12OZ 7UP""}"
6.jpg,82331,"{}",8,1,"{""name"":""rect"",""x"":154,""y"":369,""width"":39,""height"":25}","{""name"":""12OZ 7UP""}"
6.jpg,82331,"{}",8,2,"{""name"":""rect"",""x"":156,""y"":394,""width"":39,""height"":23}","{""name"":""12OZ 7UP""}"
6.jpg,82331,"{}",8,3,"{""name"":""rect"",""x"":158,""y"":419,""width"":39,""height"":21}","{""name"":""12OZ 7UP""}"
6.jpg,82331,"{}",8,4,"{""name"":""rect"",""x"":195,""y"":341,""width"":37,""height"":28}","{""name"":""12OZ CAN DRY""}"
6.jpg,82331,"{}",8,5,"{""name"":""rect"",""x"":194,""y"":369,""width"":39,""height"":25}","{""name"":""12OZ CAN DRY""}"
6.jpg,82331,"{}",8,6,"{""name"":""rect"",""x"":195,""y"":395,""width"":40,""height"":23}","{""name"":""12OZ CAN DRY""}"
6.jpg,82331,"{}",8,7,"{""name"":""rect"",""x"":197,""y"":419,""width"":38,""height"":23}","{""name"":""12OZ CAN DRY""}"
9.jpg,65033,"{}",4,0,"{""name"":""rect"",""x"":286,""y"":1,""width"":69,""height"":121}","{""name"":""2L DT 7UP""}"
9.jpg,65033,"{}",4,1,"{""name"":""rect"",""x"":216,""y"":0,""width"":69,""height"":123}","{""name"":""2L DT 7UP""}"
9.jpg,65033,"{}",4,2,"{""name"":""rect"",""x"":359,""y"":1,""width"":63,""height"":121}","{""name"":""2L CAN DRY""}"
9.jpg,65033,"{}",4,3,"{""name"":""rect"",""x"":427,""y"":1,""width"":63,""height"":121}","{""name"":""2L CAN DRY""}"
20.jpg,57983,"{}",0,0,"{}","{}"
26.jpg,74799,"{}",0,0,"{}","{}"
28.jpg,57209,"{}",0,0,"{}","{}"
32.jpg,46796,"{}",0,0,"{}","{}"
39.jpg,44395,"{}",0,0,"{}","{}"
44.jpg,19233,"{}",0,0,"{}","{}"
50.jpg,4902,"{}",0,0,"{}","{}"
51.jpg,4848,"{}",0,0,"{}","{}"
54.jpg,60218,"{}",0,0,"{}","{}"
64.jpg,69612,"{}",0,0,"{}","{}"
73.jpg,92144,"{}",7,0,"{""name"":""rect"",""x"":1,""y"":447,""width"":81,""height"":29}","{""name"":""12OZ 7UP""}"
73.jpg,92144,"{}",7,1,"{""name"":""rect"",""x"":124,""y"":334,""width"":38,""height"":30}","{""name"":""12OZ CAN DRY""}"
73.jpg,92144,"{}",7,2,"{""name"":""rect"",""x"":121,""y"":364,""width"":42,""height"":28}","{""name"":""12OZ CAN DRY""}"
73.jpg,92144,"{}",7,3,"{""name"":""rect"",""x"":121,""y"":391,""width"":41,""height"":28}","{""name"":""12OZ CAN DRY""}"
73.jpg,92144,"{}",7,4,"{""name"":""rect"",""x"":123,""y"":419,""width"":41,""height"":29}","{""name"":""12OZ CAN DRY""}"
73.jpg,92144,"{}",7,5,"{""name"":""rect"",""x"":121,""y"":448,""width"":43,""height"":26}","{""name"":""12OZ CAN DRY""}"
73.jpg,92144,"{}",7,6,"{""name"":""rect"",""x"":122,""y"":475,""width"":43,""height"":23}","{""name"":""12OZ CAN DRY""}"
76.jpg,71777,"{}",1,0,"{""name"":""rect"",""x"":19,""y"":393,""width"":89,""height"":92}","{""name"":""12OZ CAN DRY""}"
79.jpg,67095,"{}",0,0,"{}","{}"
82.jpg,64138,"{}",0,0,"{}","{}"
87.jpg,80045,"{}",0,0,"{}","{}"
109.jpg,76922,"{}",0,0,"{}","{}"
112.jpg,54858,"{}",0,0,"{}","{}"
115.jpg,9266,"{}",0,0,"{}","{}"
